Facility Name,Full Address,Parish,Subprogram Code
Charlotte's Web Preschool,"1700 Old Spanish Trail 
Slidell, LA 70458",St. Tammany,Early Learning Center III
Chase Back-Up Child Care Center,"782 Kansas Lane 
Monroe, LA 71203",Ouachita,Early Learning Center II
CHASE Ministries,"9856 Royal Street 
St Francisville, LA 70775",West Feliciana,Early Learning Center I
Chataignier Head Start Center,"5762 Vine Street 
Chataignier, LA 70524",Evangeline,Early Learning Center III
Chica & Rella's Little Angels,"744 Hall Street 
Opelousas, LA 70570",St. Landry,Early Learning Center III
Chicot Head Start,"4576 U.S. Highway 167 N 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
Child Enrichment DBA Kids World 4,"1183 Gardere Lane 
Baton Rouge, LA 70820",East Baton Rouge,Early Learning Center III
Child's Play Development Center,"1505 Grigsby Street 
Shreveport, LA 71108",Caddo,Early Learning Center III
Child's Play II Childcare and Development Center,"209 N 18th Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Children of God Daycare,"139 West 5th Street 
Laplace, LA 70068",St. John,Early Learning Center III
"Children of Promise,LLC","606 12 th Avenue 
Franklinton, LA 70438",Washington,Early Learning Center III
Children's Book of Knowledge,"150 First Street 
Saint Rose, LA 70087",St. Charles,Early Learning Center III
Children's Coalition Beverly Center,"811 Beverly Street 
Monroe, LA 71203",Ouachita,Early Learning Center III
Children's Coalition EHS- Hall Center,"117 Hall Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Children's Coalition Filhiol Center,"907 Filhiol 
Monroe, LA 71203",Ouachita,Early Learning Center III
Children's College,"967 Carnation Street 
Slidell, LA 70460",St. Tammany,Early Learning Center III
Children's College of Academics,"4614 General Meyer Avenue 
New Orleans, LA 70131",Orleans,Early Learning Center III
Children's Cottage Daycare and Preschool,"29077 Hwy 441 
Holden, LA 70744",Livingston,Early Learning Center II
Children's Cove,"2002 Hwy 80 E 
Calhoun , LA 71225",Ouachita,Early Learning Center III
Children's Edition,"32145 LA Hwy 16 
Denham Springs, LA 70726",Livingston,Early Learning Center II
Children's Learning Center,"4204 Airline Drive 
Bossier City, LA 71111",Bossier,Early Learning Center I
Children's Palace Learning Academy,"5615 Read Boulevard 
New Orleans , LA 70127",Orleans,Early Learning Center III
Children's Palace Learning Academy,"7361 Read Blvd. 
New Orleans , LA 70125",Orleans,Early Learning Center III
Children's Place Love Center Learning Academy,"2733 Bienville Street 
New Orleans, LA 70119",Orleans,Early Learning Center III
Children's Place LTD,"6317 Argonne Blvd. 
New Orleans, LA 70124",Orleans,Early Learning Center II
Children's World Learning Center,"126 Terry Parkway 
Gretna, LA 70056",Jefferson,Early Learning Center III
Childrens Coalition EHS-Louis Locke,"300 Winnsboro Road 
Monroe, LA 71203",Ouachita,Early Learning Center III
Childrens Coalition West Monroe,"508 Austin St 
West Monroe, LA 71292",Ouachita,Early Learning Center III
Childrens Palace Daycare and Preschool,"3624 Jackson Boulevard 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Childrens Paradise,"8411 Rushing Road East 
Denham Springs, LA 70726",Livingston,Early Learning Center I
Childrens Playworld Preschool,"2129 Mill St 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Childs Play Daycare,"567 Woodward Avenue 
Harahan, LA 70123",Jefferson,Early Learning Center I
Christ First Christian Academy Kiddy Kol,"1625 Annette St bldg B 
New Orlens, LA 70116",Orleans,Early Learning Center III
Christ the King Parish School,"2106 Deerfield Road 
Terrytown, LA 70056",Jefferson,Early Learning Center I
Christ the King Preschool,"1001 W. Eesplanade Avenue 
Kenner, LA 70065",Jefferson,Early Learning Center I
Christian Care Children's Center,"1279 Pitkin Rd 
Leesville, LA 71446",Vernon,Early Learning Center II
Christina Learning Center,"200 4th St 
Duson, LA 70529",Lafayette,Early Learning Center III
Christlove Childcare Center,"5344 Hearne Avenue 
Shreveport, LA 71108",Caddo,Early Learning Center III
Church of the King Mothers Day Out,"22205 Little Creek Road 
Mandeville, LA 70471",St. Tammany,Early Learning Center I
Church Street Head Start,"1116 Church Street 
Houma, LA 70360",Terrebonne,Early Learning Center III
Cinderella Head Start,"1609 Main Street 
Patterson, LA 70392",St. Mary,Early Learning Center III
Cindy's Little Angels Daycare Preschool,"248 Lobdell Avenue 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
Circle Of Love Daycare,"1114 N Polk 
Covington, LA 70433",St. Tammany,Early Learning Center III
City On A Hill Learning Center,"612 Highway 531 
Minden, LA 71055",Webster,Early Learning Center I
Claiborne Christian Preschool,"330 Laird Street 
West Monroe, LA 71291",Ouachita,Early Learning Center III
Clara's Little Lambs Preschool #5,"1904 Casa Calvo Street 
New Orleans, LA 70114",Orleans,Early Learning Center III
Clara's Little Lambs Preschool Academy,"1871 Farragut St 
New Orleans , LA 70114",Orleans,Early Learning Center III
Claras Little Lambs at Federal City,"775 Hunley Lane 
New Orleans, LA 70114",Orleans,Early Learning Center III
Clark's Early Childcare and Development Center LLC,"3615 Groom Road 
Baton Rouge, LA 70714",East Baton Rouge,Early Learning Center III
Clay Street Head Start,"606 Clay Street 
Kenner, LA 70062",Jefferson,Early Learning Center III
Close To Home Daycare,"631 E. Vermilion Street 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Cobblestones Childhood Development Center,"524 4th Street 
Natchitoches, LA 71457",Natchitoches,Early Learning Center III
College Prep,"6186 Jonesboro Road 
West  Monroe, LA 71292",Ouachita,Early Learning Center III
Color My World,"2036 Terrace Hwy 
Saint Martinville, LA 70582",St. Martin,Early Learning Center I
Color My World Infant and Child Learning,"1027 People St 
Thibodaux, LA 70301",Lafourche,Early Learning Center II
Color Wheel Learning  Hwy 73,"14429 Highway 73 
Prairieville, LA 70769",Ascension,Early Learning Center II
Color Wheel Learning Center Sherwood,"11637 Sherwood Forest Ct 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center II
Coloring House Christian Academy,"2975 Behrman Hwy 
New Orleans, LA 70114",Orleans,Early Learning Center III
Comite Child Development Center,"12250 Greenwell Springs Road 
Baton Rouge, LA 70814",East Baton Rouge,Early Learning Center I
Concordia Head Start - Vidalia Site,"208 Westside Dr 
Vidalia, LA 71373",Concordia,Early Learning Center III
Concordia Head Start-Clayton Site,"31539 Hwy 15 
Clayton, LA 71326",Concordia,Early Learning Center III
Corban Early Childhood Center,"17450 Hoo Shoo Too Rd 
Baton Rouge, LA 70817",East Baton Rouge,Early Learning Center I
Corban Early Childhood Center,"37291 Enterprise Avenue 
Prairieville, LA 70769",Ascension,Early Learning Center II
Corban Early Childhood Center,"38375 LA-42 
Prairieville, LA 70769",Ascension,Early Learning Center II
Cornerstone Academy Too,"5764 West Main Street 
Houma, LA 70360",Terrebonne,Early Learning Center II
Cornerstone Child Development Center,"4201 Viking Dr. 
Bossier City, LA 71111",Bossier,Early Learning Center I
Cornerstone Christian Academy,"8217 Commerce Drive 
Denham Springs, LA 70706",Livingston,Early Learning Center II
Cornerstone Learning Center,"260 Windermere Blvd 
Alexandria, LA 71303",Rapides,Early Learning Center III
Cornerstone Montessori LLC,"5152 Lapalco Blvd 
Marrero, LA 70072",Jefferson,Early Learning Center II
Country Bears Head Start,"17100 Minos Road 
Abbeville, LA 70510",Vermilion,Early Learning Center III
Country Cottage Day Care,"8855 Placide Rdoad 
Maurice, LA 70555",Vermilion,Early Learning Center II
Country Day School of Baton Rouge,"3743 Silverside Drive 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center II
Country Day School of Baton Rouge,"7424 Highland Road 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center II
Country Day School of Baton Rouge,"3131 Congress Boulevard 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center II
Country Day School of BR,"4455 North Blvd 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center II
Country Day's Early Childhood Baby,"305 Woodvine Avenue 
Metairie, LA 70005",Jefferson,Early Learning Center II
Country Day's Early Childhood Center,"303 Woodvine Avenue 
Metairie, LA 70005",Jefferson,Early Learning Center III
Country Place Day Care Inc,"1045 Bellevue Road 
Haughton, LA 71037",Bossier,Early Learning Center III
Courtney's Christian Preparatory School,"3054 Evangeline Street 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
Covenant House Early Head Start,"611 North Rampart St. 
New Orleans, LA 70112",Orleans,Early Learning Center III
Covenant Preschool Ministries,"300 E Martial Avenue 
Lafayette, LA 70508",Lafayette,Early Learning Center I
COVERED KIDS LEARNING ACADEMY,"1401 SIMON BOLIVAR AVE 
New Orleans, LA 70113",Orleans,Early Learning Center III
Covington Head Start & Early Head Start,"73060 E. Stadium Drive 
Covington, LA 70433",St. Tammany,Early Learning Center III
Covington Montessori Preschool,"116 North Monroe Street 
Covington, LA 70433",St. Tammany,Early Learning Center I
Cradle to Crayons,"5524 Highway 1 Suite D 
Lockport, LA 70374",Lafourche,Early Learning Center I
Crawford  Elementary School,"935 Daniel Street 
Arcadia, LA 71001",Bienville,Early Learning Center III
Cream of the Crop,"4901 Chef Menteur Hwy. 
New Orleans , LA 70126",Orleans,Early Learning Center III
Creative Children's Learning Center,"11375 Stan Avenue 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center III
Creative Kidz,"2141 Barataria Blvd 
Marrero, LA 70072",Jefferson,Early Learning Center III
Creative Kidz East,"8400 Morrison Rd 
New Orleans, LA 70127",Orleans,Early Learning Center III
Creative Kidz ll,"2201 Barataria Blvd A-B 
Marrero, LA 70072",Jefferson,Early Learning Center III
Creative Learning Preschool and Childcare,"201 Perard St. 
Lafayette, LA 70503",Lafayette,Early Learning Center III
Creative Learning Preschool and Nursery,"106 Eauclair Drive 
Thibodaux, LA 70301",Lafourche,Early Learning Center III
Creative Minds Preschool of Youngsville,"822 Fortune Road 
Youngsville, LA 70592",Lafayette,Early Learning Center I
Creative Step Child Development Center,"8201 Norwood Street 
Livonia , LA 70755",Pointe Coupee,Early Learning Center III
Creative Wonders Learning Center,"17273 Hwy 44 
Prairieville, LA 70769",Ascension,Early Learning Center II
Crescent City Christian Early Learning Center,"4828 Utica Street 
Metairie, LA 70006",Jefferson,Early Learning Center I
Crescent Cradle at Cabrini High School,"3408 Esplanade Avenue 
New Orleans, LA 70119",Orleans,Early Learning Center I
Cribs to Crayons,"903 Lemoine Street 
Cottonport, LA 71327",Avoyelles,Early Learning Center III
"Cribs To Crayons Child Care, LLC","3103 Lee Drive 
Pierre Part, LA 70339",Assumption,Early Learning Center II
Cribs to Crayons Child Development Center,"525 Arceneaux Rd 
Carencro, LA 70520",Lafayette,Early Learning Center II
Cub Corner Preschool,"420 Robert E. Lee Boulevard 
New Orleans, LA 70124",Orleans,Early Learning Center I
Cuddly Bear Child Development Center,"3600 General Meyer Avenue 
New Orleans, LA 70114",Orleans,Early Learning Center III
Cutting The Pattern LLC,"685 West Railroad Avenue 
Independence, LA 70443",Tangipahoa,Early Learning Center III
Cypress Baptist Child Development Center,"4701 Palmetto Road 
Benton, LA 71006",Bossier,Early Learning Center I
Cypress Run Child Development Center,"119 Bayou Crossing Drive 
Bossier, LA 71111",Bossier,Early Learning Center I
D & J 's Learning Center LLC,"6234 Curran Boulevard 
New Orleans, LA 70126",Orleans,Early Learning Center III
"D J's Learning Castle, LLC","3033 Paris Avenue 
New Orleans, LA 70122",Orleans,Early Learning Center III
Daddy's Learning Center Inc.,"128 Market Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
Danyelle's Early Development Center,"203 N. Chataignier St. 
Ville Platte, LA 70586",Evangeline,Early Learning Center I
Darling Little Tot's Daycare,"1300 First Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
David Raines Head Start,"1625  David Raines Road 
Shreveport, LA 71107",Caddo,Early Learning Center III
Debbie's Wee Care Inc.,"3037 Colquitt Rd 
Shreveport, LA 71118",Caddo,Early Learning Center III
Delaware Academy and Preschool,"3411 Delaware Avenue 
Kenner, LA 70065",Jefferson,Early Learning Center III
Deliverance Academy,"565 East 83rd 
Shreveport, LA 71106",Caddo,Early Learning Center III
"Delta Community Action Agency, Delhi Head Start","212 Cuthbert Street 
Delhi, LA 71232",Richland,Early Learning Center III
Delta Community Action Head Start Lake Providence,"300 Second Street 
Lake Providence, LA 71254",East Carroll,Early Learning Center III
Delta Community Action Mangham HS,"421 Hixson Street 
Mangham, LA 71259",Richland,Early Learning Center III
Delta Community Action Rayville #3,"115 Legacy Street 
Rayville, LA 71269",Richland,Early Learning Center III
Delta Community Action Rayville HS,"1128 Harrison Street 
Rayville, LA 71269",Richland,Early Learning Center III
Delta Community Action Tallulah HS,"609 North Cedar Street 
Tallulah, LA 71282",Madison,Early Learning Center III
Delta Community Action Tallulah HS,"703 North Cedar Street 
Tallulah, LA 71282",Madison,Early Learning Center III
Delta Community Action-Rayville #2,"7 Cumpton Lane 
Rayville, LA 71269",Richland,Early Learning Center III
Denham Springs Christian Academy Learning Center,"920 Cockerham Rd 
Denham Springs, LA 70726",Livingston,Early Learning Center III
Denham Springs Montessori,"8091 Vincent Road 
Denham Springs, LA 70726",Livingston,Early Learning Center II
Dennis Mills Learning Academy,"77 Dennis Lee Road 
Denham Springs, LA 70706",St. Helena,Early Learning Center III
Dequincy Primary Head Start,"304 McNeese Street 
Dequincy, LA 70663",Calcasieu,Early Learning Center III
Diamond K Kid's Kountry,"614 9th Street 
Glenmora, LA 71433",Rapides,Early Learning Center III
Diana Head Start Center,"2144 Pace Boulevard 
New Orleans, LA 70114",Orleans,Early Learning Center III
Discovery House,"3928 Independence Drive 
Alexandria, LA 71303",Rapides,Early Learning Center III
Discovery Kids Preschool and Daycare Center,"128 S. Jefferson Davis Parkway 
New Orleans, LA 70119",Orleans,Early Learning Center III
Divine Hands Preschool & Learning Academy,"320 Belle Terre Boulevard 
Laplace, LA 70068",St. John,Early Learning Center III
Divine Treasures Development Center,"200 N Orange St 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Don Avenue Baptist Daycare,"1010 Don Avenue 
Denham Springs, LA 70726",Livingston,Early Learning Center I
Doodlebugs Early Childhood Development Center,"109 Jane Drive 
Lafayette, LA 70508",Lafayette,Early Learning Center III
Dr. Peter W. Dangerfield Head Start Center,"1402 S Jeff Davis Pkwy 
New Orleans, LA 70125",Orleans,Early Learning Center III
Dream Academy,"3400 Forsythe Avenue 
Monroe, LA 71203",Ouachita,Early Learning Center III
Dream Team Learning Academy,"14469 Highway 44 
Gonzales, LA 70737",Ascension,Early Learning Center II
Dreamers Land,"400 West Laurel 
Eunice, LA 70535",St. Landry,Early Learning Center III
Dreamy Days LLC,"519 First Street 
Broussard, LA 70518",Lafayette,Early Learning Center II
Dryades YMCA Daycare,"1924 Phillip Street 
New Orleans, LA 70113",Orleans,Early Learning Center III
Dutchtown Child Development Center inc,"13271 Hwy 73 
Geismar, LA 70734",Ascension,Early Learning Center I
E. A. Davis Learning Center,"152 Martin Luther King Boulevard 
Ferriday, LA 71334",Concordia,Early Learning Center III
"Eagle Christian Learning Academy, LLC","46485 Rufus Bankston Rd. 
Hammond, LA 70401",Tangipahoa,Early Learning Center III
Early Advantage Inc dba Bright Beginning,"146 Richland Drive 
Thibodaux, LA 70301",Lafourche,Early Learning Center II
Early Learning Center of Grace Memorial Baptist Church,"58516 Pearl Acres Road 
Slidell, LA 70461",St. Tammany,Early Learning Center I
Early Learning Center of NOBTS,"4148 Providence Place 
New Orleans, LA 70126",Orleans,Early Learning Center III
Early Steps Child Development Center LLC,"1673 East Mt. Pleasant Road 
Zachary, LA 70791",East Baton Rouge,Early Learning Center III
Early Years Learning Center,"501 South 12th Street 
Eunice, LA 70535",St. Landry,Early Learning Center III
Early Years Nursery School,"1211 N Herpin Avenue 
Kaplan, LA 70548",Vermilion,Early Learning Center II
"East Bank Head Start, St. Charles Parish Public Schools","13292 River Road 
Destrehan, LA 70047",St. Charles,Early Learning Center III
East St. Tammany Rainbow Child Care Center,"121 Kingspoint Blvd. 
Slidell, LA 70461",St. Tammany,Early Learning Center III
Eastwood Baptist Childcare Center,"2810 Hwy 80 
Haughton, LA 71037",Bossier,Early Learning Center I
EBRP Capital Area Head Start Center,"3250 N Acadian Thruway 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
EBRP Charlie Thomas Head Start Center,"8686 Pecan Tree Drive 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center III
EBRP Child Development and Learning Campus Head Start,"7315 Exchange Place 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
EBRP Children's World Early Head Start,"7200 Maplewood Drive 
Baton Rouge, LA 70812",East Baton Rouge,Early Learning Center III
EBRP Discovery Head Start,"9700 Scenic HIghway 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
EBRP Freeman-Matthews Head Start Center,"1383 Napoleon Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
EBRP LaBelle Aire Head Start Center,"1919 N. Christy Drive 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center III
EBRP New Horizon Head Start Center,"1111 North 28th Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
EBRP Progress Head Start Center,"1881 Progress Road 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
EBRP Wonderland Head Start Center,"1500 Oleander Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
EBRP- St. Francis Xavier Head Start,"1145 Terrace Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
Ecole Bilingue de la Nouvelle Orleans,"735 General Pershing St 
New Orleans, LA 70115",Orleans,Early Learning Center I
Ecole Classique,"5236 Glendale St 
Metairie, LA 70006",Jefferson,Early Learning Center I
Eddie D. Jones Head Start Center,"1729 Ford Street 
Shreveport, LA 71101",Caddo,Early Learning Center III
Educare Academy,"2839 Brady Street 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
Educare Academy #2,"6437 Mickens Road 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center III
Educare New Orleans,"3801 St. Bernard Ave 
New Orleans, LA 70122",Orleans,Early Learning Center III
Elan Vital Montessori School,"7518 Highland Road 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center II
Elisabetta Renzi Child Development Center,"760 Overton Brooks Road 
Shreveport, LA 71106",Caddo,Early Learning Center I
Emmanuel Baptist Church Preschool,"1200 Farmerville Highway 
Ruston, LA 71270",Lincoln,Early Learning Center III
Emmanuel Baptist Day School,"430 Jackson St 
Alexandria, LA 71301",Rapides,Early Learning Center I
Emmanuel Seventh-Day Adventist Church Daycare,"702 North Cherry Street 
Hammond, LA 70401",Tangipahoa,Early Learning Center I
Emmie's Angels,"15375 Highway 26 
Jennings, LA 70546",Jefferson Davis,Early Learning Center II
Empowerment Learning Center,"702 Hassell Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
Epic Learning Center,"1284 Airline Dr 
Bossier City, LA 71112",Bossier,Early Learning Center III
Epic Learning Center,"1805 Jimmie Davis Hwy 
Bossier City, LA 71112",Bossier,Early Learning Center III
"Eunice Country Day Nursery School, LLC","1248 North St. Mary Rd 
Eunice, LA 70535",St. Landry,Early Learning Center III
Evangel Learning Center,"5720 Buncombe Rd 
Shreveport, LA 71129",Caddo,Early Learning Center II
Excellent Daycare & Nursery Inc,"3003 Gayton Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Explore and Learn Early Learning Center,"1401 J W Davis Dr 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Fair Park Baptist Church Weekday Program,"4340 White's Ferry Road 
West Monroe, LA 71291",Ouachita,Early Learning Center I
Faith Lutheran Head Start,"4030 Doris Street 
Shreveport, LA 71109",Caddo,Early Learning Center III
Faith Lutheran Pre School,"300 Colonial Club Dr 
Harahan, LA 70123",Jefferson,Early Learning Center I
Faith Presbyterian Preschool,"2525 Apollo Ave 
Harvey, LA 70058",Jefferson,Early Learning Center I
Family and Child Development Center,"301 Dunand St. 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Family Christian Academy Preschool,"8919 World Ministry Ave. 
Baton Rouge , LA 70810",East Baton Rouge,Early Learning Center I
Family Community Early Learning Center,"2023 Highway 15 
Winnsboro, LA 71295",Franklin,Early Learning Center III
"Family Daycare Center, LLC dba Mini Me Learning Center","3044 Verot School Road 
Lafayette, LA 70508",Lafayette,Early Learning Center I
Farmerville Head Start Center,"7199 Hwy 33 
Farmerville, LA 71241",Union,Early Learning Center III
Fay's Day Care and Learning Center,"220 Younger Blvd 
Natchitoches, LA 71457",Natchitoches,Early Learning Center III
Fellowship Daycare,"1555 Mount Pleasant Road 
Zachary, LA 70791",East Baton Rouge,Early Learning Center I
Fellowship Learning Center,"4750 Barksdale Blvd 
Bossier City, LA 71112",Bossier,Early Learning Center I
First Academy Early Learning Center,"5290 Canal Blvd 
New Orleans, LA 70124",Orleans,Early Learning Center I
First Baptist Child Care,"1400 Nolan Trace 
Leesville, LA 71446",Vernon,Early Learning Center II
First Baptist Child Development Center,"4141 Pontchartrain Dr 
Slidell, LA 70458",St. Tammany,Early Learning Center I
First Baptist Child Development Center,"529 Convention Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
First Baptist Church Child Care Center,"406 W. Main St. 
Homer, LA 71040",Claiborne,Early Learning Center I
First Baptist Church Day Care,"304 Davis Street 
Lake Providence, LA 71254",East Carroll,Early Learning Center I
First Baptist Church Day School,"901 Main Street 
Pineville, LA 71360",Rapides,Early Learning Center I
First Baptist Church Daycare,"201 East Court Street 
Winnfield, LA 71483",Winn,Early Learning Center I
First Baptist Church dba Covenant Christian Preschool,"4863 West Park Ave 
Houma, LA 70364",Terrebonne,Early Learning Center I
First Baptist Church Mother's Day Out,"16333 Highway 1085 
Covington, LA 70433",St. Tammany,Early Learning Center I
First Baptist Church of Chalmette,"305 East St Bernard Highway 
Chalmette, LA 70043",St. Bernard,Early Learning Center I
First Baptist Church WEE Care,"2021 Main Street 
Haynesville, LA 71038",Claiborne,Early Learning Center I
First Baptist Church Weekday Early Education,"301 Pennsylvania Ave 
Minden, LA 71055",Webster,Early Learning Center I
First Baptist Church Weekday Early Education (WEE) Center,"117-A South 12th Street 
Oakdale, LA 71463",Allen,Early Learning Center I
First Baptist Wee Care,"608 E. Main St. 
Oak Grove, LA 71263",West Carroll,Early Learning Center I
First Baptist WEE Center,"921 Paul Maillard Rd. 
Luling, LA 70070",St. Charles,Early Learning Center I
First Beginnings Child Development Center,"500 Common Street 
Shreveport , LA 71101",Caddo,Early Learning Center III
First Class Academy,"28660 Montana Street 
Lacombe, LA 70445",St. Tammany,Early Learning Center III
First Friends Christian Learning Center,"201 John Wesley Blvd. 
Bossier, LA 71112",Bossier,Early Learning Center I
First Friends Learning Center,"1109 Benton Road 
Bossier City , LA 71111",Bossier,Early Learning Center III
First Impressions Child Care and Pre-School,"1106 Sibley Road 
Minden, LA 71055",Webster,Early Learning Center III
First Methodist School,"812 Kirkman Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
First Steps Development Center,"503 North Walnut Street 
Opelousas, LA 70570",St. Landry,Early Learning Center III
First United Methodist Childcare Center,"2500 Military Rd Hwy 31 
Ringgold, LA 71068",Bienville,Early Learning Center I
First United Methodist Church Kids World,"300 W. Main Street 
Winnfield, LA 71483",Winn,Early Learning Center I
First United Methodist Church Little School,"203 N Jefferson Ave 
Covington, LA 70433",St. Tammany,Early Learning Center I
First United Methodist Church Preschool of Welsh,"306 N.Adams 
Welsh, LA 70591",Jefferson Davis,Early Learning Center I
First United Methodist Day Care,"3900 Loop Road 
Monroe, LA 71201",Ouachita,Early Learning Center I
First United Methodist Early Learning Center,"1411 Glenwood Dr 
West Monroe, LA 71291",Ouachita,Early Learning Center I
First United Methodist Preschool,"2727 Jackson Street 
Alexandria , LA 71301",Rapides,Early Learning Center I
First United Methodist Preschool,"2200 Rue Denise 
Hammond, LA 70403",Tangipahoa,Early Learning Center I
"First Years Early Childhood Development Program, Inc.","417 Bertrand Drive 
Lafayette, LA 70506",Lafayette,Early Learning Center I
Fisher Early Childhood Development Center,"230 Ridge Road 
Lafayette, LA 70506",Lafayette,Early Learning Center I
Fisher Early Childhood Development Center,"204 E. Farrel Rd 
Lafayette, LA 70508",Lafayette,Early Learning Center I
Florida Boulevard Baptist Preschool,"10915 Florida Boulevard 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center I
Fontainebleau Children's Academy,"68480 Hwy 59 
Mandeville, LA 70471",St. Tammany,Early Learning Center III
For My Child Learning Center,"111Westmark Blvd. Ste 100 
Lafayette, LA 70506",Lafayette,Early Learning Center III
For My Child Learning Center,"8 Ross Lane 
Alexandria, LA 71303",Rapides,Early Learning Center III
"Forest Hill Day Care, LLC","119 Randolph Road 
Forest Hill, LA 71430",Rapides,Early Learning Center II
Foundations Christian Learning Center,"2850 Hwy 28 East Suite126 
Pineville, LA 71360",Rapides,Early Learning Center III
Foundations Early Learning Academy,"8001 Waterloo Ave 
Abbeville, LA 70510",Vermilion,Early Learning Center II
Fountain of Knowledge Learning Center,"4310 Florida Ave 
Kenner, LA 70065",Jefferson,Early Learning Center III
"Four Stars Childcare Facility, LLC.","14985 Highway 90 
Paradis, LA 70080",St. Charles,Early Learning Center III
Frances Daycare,"8515 Highway 84 
Mansfield, LA 71052",DeSoto,Early Learning Center II
Franklin Parish Head Start,"1310 Warren Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
Franklinton Head Start & Early Head Start,"531 Hilltop Dr. 
Franklinton, LA 70438",Washington,Early Learning Center III
Friends for Life Childcare LLC,"5910 Hearne Ave 
Shreveport, LA 71108",Caddo,Early Learning Center III
Froggie's Child Care Inc.,"606  Goodnews Ave 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center II
From Cradles to Classrooms,"57951 Barrow St. 
Plaquemine, LA 70764",Iberville,Early Learning Center III
FUMC The Little School,"106 Pecan Street 
Thibodaux, LA 70301",Lafourche,Early Learning Center I
Fun for Life Learning Center LLC,"2529 Dreux Avenue 
New Orleans, LA 70122",Orleans,Early Learning Center III
Fundamentals Early Learning Center,"27340 Walker Rd S 
Walker, LA 70785",Livingston,Early Learning Center II
Fundamentals Early Learning Center,"14311 Wax Road 
Baton Rouge , LA 70818",East Baton Rouge,Early Learning Center II
Fundamentals of Mandeville,"706 Asbury Dr 
Mandeville, LA 70471",St. Tammany,Early Learning Center III
Funtime Palace Day Care,"410 Touline Street 
Natchitoches, LA 71457",Natchitoches,Early Learning Center III
Future Blossom's Child Care,"2409 Gene St. 
Winnsboro, LA 71295",Franklin,Early Learning Center III
Future Generations Inc.,"3470 Martin Dr 
Marrero, LA 70072",Jefferson,Early Learning Center II
Future Scholars Academy LLC,"3050 General Collins Ave. 
New Orleans, LA 70114",Orleans,Early Learning Center III
Futures Unlimited Preschool and Daycare,"4758 I 49 N Service Road 
Opelousas, LA 70570",St. Landry,Early Learning Center III
Gabriel's Child Development Academy,"5905 Flournoy Lucas Rd 
Shreveport , LA 71129",Caddo,Early Learning Center III
Galilee Learning Center #2,"1625 Gary Street 
Shreveport, LA 71103",Caddo,Early Learning Center III
Garden of Eden Christian Academy,"3221 Hwy 51 
Laplace, LA 70068",St. John,Early Learning Center III
Garden of Eden Christian Academy Bldg 3,"3217 Highway 51 
Laplace, LA 70068",St. John,Early Learning Center III
Gateway Baptist Church Day School,"7074 Monroe Hwy 
Ball, LA 71405",Rapides,Early Learning Center I
Gateway Preschool and Technology Center,"14354 Hwy 73 
Prairieville, LA 70769",Ascension,Early Learning Center II
Genesis Academy,"5963 Buncombe Road 
Shreveport, LA 71129",Caddo,Early Learning Center III
Genesis Childcare and Developmental Center,"8600  Saint Vincent Avenue 
Shreveport, LA 71106",Caddo,Early Learning Center III
